Trees			
	Target Speed	6	m/s
	Penalty Time	5	sec
	Collision penalty	30	sec
	
Iteration  1	Distance (m)	Time (s)	Avg. Speed	Collision Count	Manual Corrections	Start Alt.	Mid Alt.	End Alt.	Avg. Alt.	Collision Penalty (s)	Corrected Time (s)	Success	Speed Given Success	% Target Speed Achieved (Avg Speed)
1	100	16.595	6.089	0	0	6.275	6.275	6.275	6.275	0	16.595	1	6.089	101.48%
2	100	17.185	6.826	0	0	6.275	6.303	6.297	6.292	0	17.185	1	6.826	113.77%
3	100	17.52	6.74	0	0	6.298	6.298	6.298	6.298	0	17.52	1	6.74	112.33%
4	100	16.759	7	0	0	6.298	6.298	6.298	6.298	0	16.759	1	7	116.67%
5	100	22.679	5.582	0	0	5.912	5.547	5.547	5.669	0	22.679	1	5.582	93.03%
6	100	19.525	5.907	0	0	5.459	5.027	5.025	5.17	0	19.525	1	5.907	98.45%
7	100	20.503	5.909	0	0	5.025	5.516	6.603	5.715	0	20.503	1	5.909	98.48%
8	100	23.982	5.204	0	0	6.644	6.662	6.378	6.561	0	23.982	1	5.204	86.73%
9	100	29.793	4.663	1	0	6.5	4.366	6.271	5.712	30	59.793	0	0	77.72%
10	100	63.595	2.741	0	0	4.417	4.89	7.147	5.485	0	63.595	1	2.741	45.68%

Iteration  2	Distance (m)	Time (s)	Avg. Speed	Collision Count	Manual Corrections	Start Alt.	Mid Alt.	End Alt.	Avg. Alt.	Collision Penalty (s)	Corrected Time (s)	Success	Speed Given Success	% Target Speed Achieved (Avg Speed)
1	100	16.775	6.066	0	0	8.645	8.646	8.646	8.646	0	16.775	1	6.066	101.10%
2	100	16.66	6.061	0	0	8.646	8.646	8.646	8.646	0	16.66	1	6.061	101.02%
3	100	17.5	6.046	0	0	8.626	8.238	7.943	8.269	0	17.5	1	6.046	100.77%
4	100	16.9	6.056	0	0	7.942	7.942	7.942	7.942	0	16.9	1	6.056	100.93%
5	100	18.356	5.965	0	0	7.674	9.237	8.568	8.493	0	18.356	1	5.965	99.42%
6	100	17.677	5.98	0	0	7.684	4.83	4.455	5.656	0	17.677	1	5.98	99.67%
7	100	18.116	5.994	0	0	4.722	5.031	4.615	4.789	0	18.116	1	5.994	99.90%
8	100	22.56	5.613	0	0	4.486	7.027	9.014	6.842	0	22.56	1	5.613	93.55%
9	100	44.682	4.363	0	0	7.115	5.255	6.242	6.204	0	44.682	1	4.363	72.72%
10	100	54.731	3.057	1	0	6.786	8.288	8.253	7.776	30	84.731	0	0	50.95%

Iteration  3	Distance (m)	Time (s)	Avg. Speed	Collision Count	Manual Corrections	Start Alt.	Mid Alt.	End Alt.	Avg. Alt.	Collision Penalty (s)	Corrected Time (s)	Success	Speed Given Success	% Target Speed Achieved (Avg Speed)
1	100	16.591	6.066	0	0	6.834	6.834	6.834	6.834	0	16.591	1	6.066	101.10%
2	100	16.59	6.065	0	0	6.834	6.834	6.834	6.834	0	16.59	1	6.065	101.08%
3	100	16.684	6.064	0	0	6.834	6.834	6.834	6.834	0	16.684	1	6.064	101.07%
4	100	16.737	6.06	0	0	6.834	6.834	6.834	6.834	0	16.737	1	6.06	101.00%
5	100	23.383	4.751	0	0	7.361	9.334	9.108	8.601	0	23.383	1	4.751	79.18%
6	100	21.909	4.7	0	0	7.784	4.993	4.856	5.878	0	21.909	1	4.7	78.33%
7	100	25.705	4.313	0	0	4.923	7.069	7.869	6.62	0	25.705	1	4.313	71.88%
8	100	52.125	2.428	1	1	6.138	3.873	4.227	4.746	30	82.125	0	0	40.47%
9	100	38.022	3.661	0	0	5.018	6.806	4.833	5.552	0	38.022	1	3.661	61.02%
10	100	47.633	3.101	0	0	5.71	3.749	4.246	4.568	0	47.633	1	3.101	51.68%

Iteration  4	Distance (m)	Time (s)	Avg. Speed	Collision Count	Manual Corrections	Start Alt.	Mid Alt.	End Alt.	Avg. Alt.	Collision Penalty (s)	Corrected Time (s)	Success	Speed Given Success	% Target Speed Achieved (Avg Speed)
1	100	16.58	6.057	0	0	7.452	7.452	7.452	7.452	0	16.58	1	6.057	100.95%
2	100	16.599	6.067	0	0	7.452	7.452	7.452	7.452	0	16.599	1	6.067	101.12%
3	100	19.575	5.255	0	0	7.46	6.419	6.166	6.682	0	19.575	1	5.255	87.58%
4	100	19.374	5.331	0	0	6.264	6.328	6.328	6.307	0	19.374	1	5.331	88.85%
5	100	21.995	4.727	0	0	6.1	5.545	5.649	5.765	0	21.995	1	4.727	78.78%
6	100	24.36	4.744	0	0	8.883	8.511	8.595	8.663	0	24.36	1	4.744	79.07%
7	100	29.873	4.104	0	0	6.194	7.515	8.057	7.255	0	29.873	1	4.104	68.40%
8	100	43.257	3.446	1	0	6.15	4.98	4.893	5.341	30	73.257	0	0	57.43%
9	100	51.61	3.003	0	0	6.005	5.521	6.089	5.872	0	51.61	1	3.003	50.05%
10	100	78.92	1.651	0	1	7.346	3.713	4.418	5.159	0	78.92	0	1.651	27.52%

Iteration  5	Distance (m)	Time (s)	Avg. Speed	Collision Count	Manual Corrections	Start Alt.	Mid Alt.	End Alt.	Avg. Alt.	Collision Penalty (s)	Corrected Time (s)	Success	Speed Given Success	% Target Speed Achieved (Avg Speed)
1	100	16.603	6.058	0	0	7.455	7.455	7.455	7.455	0	16.603	1	6.058	100.97%
2	100	16.657	6.052	0	0	7.455	7.455	7.455	7.455	0	16.657	1	6.052	100.87%
3	100	22.766	4.786	0	0	7.414	7.087	7.316	7.272	0	22.766	1	4.786	79.77%
4	100	16.771	6.124	0	0	7.278	7.243	7.243	7.255	0	16.771	1	6.124	102.07%
