Trees														
	Target Speed	1	m/s											
	Penalty Time	5	sec											
	Collision penalty	5	sec											
												
Iteration  1	Distance (m)	Time (s)	Avg. Speed	Collision Count	Manual Corrections	Start Alt.	Mid Alt.	End Alt.	Avg. Alt.	Collision Penalty (s)	Corrected Time (s)	Success	Speed Given Success	% Target Speed Achieved (Avg Speed)
1	100	99.995		1.003	0	2	5.562	5.562	5.562	3.562	0	99.995		1	1.003	100.30%
2	100	109.183	0.928	0	0	5.562	5.564	5.515	5.547	0	109.183	1	0.928	92.80%
3	100	106.265	0.955	0	0	5.515	5.515	5.515	5.515	0	106.265	1	0.955	95.50%
4	100	108.4		0.934	0	2	5.515	5.515	5.515	3.515	0	108.4		1	0.934	93.40%
5	100	108.258	0.947	0	0	5.515	5.515	5.698	5.576	0	108.258	1	0.947	94.70%
6	100	125.574	0.888	0	0	8.581	9.017	8.977	8.858	0	125.574	1	0.888	88.80%
7	100	153.729	0.711	0	0	5.938	5.152	6.131	5.74	0	153.729	1	0.711	71.10%
8	100	144.828	0.723	0	0	6.145	6.44	6.43	6.338	0	144.828	1	0.723	72.30%
9	100	215.227	0.615	0	0	7.706	7.28	6.812	7.266	0	215.227	1	0.615	61.50%
10	100	339.341	0.37	0	0	5.477	5.02	4.813	5.103	0	339.341	1	0.37	37.00%

Iteration  2	Distance (m)	Time (s)	Avg. Speed	Collision Count	Manual Corrections	Start Alt.	Mid Alt.	End Alt.	Avg. Alt.	Collision Penalty (s)	Corrected Time (s)	Success	Speed Given Success	% Target Speed Achieved (Avg Speed)
1	100	99.972		1.015	0	2	5.661	5.661	5.661	3.661	0	99.972		1	1.015	101.50%
2	100	101.579	1.012	0	0	5.661	5.617	5.567	5.615	0	101.579	1	1.012	101.20%
3	100	101.296	0.987	0	0	5.567	5.567	5.567	5.567	0	101.296	1	0.987	98.70%
4	100	101.286	1.01	0	0	5.567	5.567	5.567	5.567	0	101.286	1	1.01	101.00%
5	100	101.972	0.993	0	0	5.567	5.567	5.641	5.592	0	101.972	1	0.993	99.30%
6	100	107.001	0.999	0	0	6.308	6.318	6.318	6.315	0	107.001	1	0.999	99.90%
7	100	106.615	0.995	0	0	6.985	8.052	7.287	7.441	0	106.615	1	0.995	99.50%
8	100	118.929	1.014	0	0	6.605	4.988	4.845	5.479	0	118.929	1	1.014	101.40%
9	100	213.776	0.862	0	0	4.679	5.119	7.324	5.707	0	213.776	1	0.862	86.20%
10	100	300.086	0.535	0	0	7.943	7.445	6.035	7.141	0	300.086	1	0.535	53.50%

Iteration  3	Distance (m)	Time (s)	Avg. Speed	Collision Count	Manual Corrections	Start Alt.	Mid Alt.	End Alt.	Avg. Alt.	Collision Penalty (s)	Corrected Time (s)	Success	Speed Given Success	% Target Speed Achieved (Avg Speed)
1	100	100.042	0.994	0	0	5.565	5.565	5.565	5.565	0	100.042	1	0.994	99.40%
2	100	101.692	1.012	0	0	5.565	5.565	5.565	5.565	0	101.692	1	1.012	101.20%
3	100	101.449	1.006	0	0	5.565	5.565	5.565	5.565	0	101.449	1	1.006	100.60%
4	100	101.693	1.006	0	0	5.565	5.565	5.565	5.565	0	101.693	1	1.006	100.60%
5	100	101.269	0.999	0	0	5.565	5.565	5.646	5.592	0	101.269	1	0.999	99.90%
6	100	155.198	0.739	0	0	7.742	8.181	8.152	8.025	0	155.198	1	0.739	73.90%
7	100	130.608	1.026	0	0	5.426	4.414	4.814	4.885	0	130.608	1	1.026	102.60%
